Points
[[39.668049, 2.576728], [39.668441, 2.57433], [39.668608, 2.570598], [39.66687, 2.568979], [39.665095, 2.567043], [39.665327, 2.565583], [39.6648, 2.565368], [39.663368, 2.564738], [39.662931, 2.561611], [39.662455, 2.561125], [39.661905, 2.563697], [39.660436, 2.562628], [39.659764, 2.560422], [39.658038, 2.559444], [39.657313, 2.558197], [39.657081, 2.554723], [39.657885, 2.553069], [39.658786, 2.551477], [39.65981, 2.551504], [39.661036, 2.553448], [39.6616, 2.555046], [39.662347, 2.55452], [39.663664, 2.55598], [39.665617, 2.560095], [39.666331, 2.562728], [39.665263, 2.565087], [39.665774, 2.567677], [39.667304, 2.569319], [39.668557, 2.571196], [39.668716, 2.574779]]
[[39.71355, 2.620924], [39.715225, 2.623045], [39.715325, 2.624932], [39.715797, 2.627376], [39.718252, 2.629154], [39.718854, 2.63202], [39.719341, 2.633653], [39.721374, 2.633743], [39.722457, 2.633375], [39.723581, 2.633852], [39.724375, 2.634741], [39.725974, 2.634884], [39.728021, 2.638237], [39.729694, 2.637136], [39.73031, 2.633879], [39.730849, 2.630078], [39.728583, 2.625847], [39.727167, 2.623171], [39.728877, 2.621908], [39.729517, 2.619319], [39.728389, 2.616693], [39.727665, 2.613985], [39.726055, 2.612288], [39.726135, 2.614405], [39.724433, 2.61791], [39.723364, 2.620253], [39.720604, 2.6213], [39.719403, 2.622865], [39.717509, 2.622932], [39.715074, 2.622857]]
[[39.75718, 2.82563], [39.75783, 2.82522], [39.7607, 2.82055], [39.76207, 2.81853], [39.7625, 2.81885], [39.76411, 2.81458], [39.76585, 2.81641], [39.766, 2.81731], [39.7669, 2.81767], [39.76759, 2.81834], [39.76911, 2.81808], [39.77119, 2.8199], [39.77207, 2.82355], [39.77298, 2.8263], [39.77714, 2.83012], [39.77716, 2.83003], [39.77592, 2.8296], [39.77049, 2.82475], [39.76731, 2.82269], [39.76532, 2.82134], [39.76637, 2.82003], [39.76701, 2.8158], [39.7666, 2.81553], [39.76632, 2.81443], [39.76609, 2.81671], [39.76469, 2.81495], [39.76409, 2.81475], [39.76285, 2.81874], [39.76062, 2.82061], [39.75656, 2.82724]]
[[39.340508, 3.096951], [39.338577, 3.053823], [39.326206, 3.012309], [39.317741, 2.999842], [39.312332, 3.006012], [39.311062, 3.012548], [39.302807, 3.020706], [39.295258, 3.019091], [39.291271, 3.023062], [39.288326, 3.031006], [39.285519, 3.029418], [39.280895, 3.037426], [39.275303, 3.043781], [39.266232, 3.050398], [39.264969, 3.055795], [39.266792, 3.066624], [39.268806, 3.072288], [39.275066, 3.078748], [39.276264, 3.080024], [39.278065, 3.081606], [39.281548, 3.085275], [39.283974, 3.087694], [39.28804, 3.09057], [39.288639, 3.089593], [39.291374, 3.091143], [39.301807, 3.100431], [39.305481, 3.110118], [39.312302, 3.116944], [39.313358, 3.118011], [39.32058, 3.113746]]
[[39.317473, 2.998147], [39.314245, 3.005537], [39.31181, 3.006335], [39.310987, 3.013014], [39.301885, 3.020504], [39.299145, 3.017935], [39.295348, 3.018836], [39.291076, 3.023047], [39.289883, 3.028998], [39.28739, 3.029952], [39.285621, 3.028788], [39.28143, 3.034709], [39.279667, 3.042127], [39.274507, 3.043957], [39.268677, 3.048209], [39.266275, 3.050219], [39.269061, 3.048076], [39.274108, 3.043577], [39.277197, 3.044041], [39.281471, 3.036365], [39.285485, 3.029536], [39.287052, 3.029333], [39.289457, 3.028425], [39.29307, 3.0223], [39.295323, 3.01931], [39.298867, 3.018211], [39.302003, 3.020439], [39.310938, 3.013304], [39.311806, 3.006383], [39.313494, 3.005084]]
[[39.727346, 2.817143], [39.729913, 2.819363], [39.732047, 2.819508], [39.735002, 2.819993], [39.735002, 2.819993], [39.73684, 2.818517], [39.736156, 2.817357], [39.735253, 2.816517], [39.736186, 2.813608], [39.737542, 2.813915], [39.740152, 2.815566], [39.740857, 2.816902], [39.740857, 2.816902], [39.741763, 2.816914], [39.742587, 2.815389], [39.741659, 2.813383], [39.740136, 2.812196], [39.739686, 2.812051], [39.736718, 2.81355], [39.736718, 2.81355], [39.735123, 2.814826], [39.734893, 2.816952], [39.736625, 2.817835], [39.736847, 2.818381], [39.736224, 2.819258], [39.734594, 2.821307], [39.73203, 2.819491], [39.73203, 2.819491], [39.729696, 2.819216], [39.727622, 2.817449]]
[[39.45979, 3.279754], [39.461179, 3.278553], [39.462141, 3.277304], [39.462944, 3.275479], [39.464696, 3.274646], [39.464965, 3.272918], [39.465971, 3.271128], [39.467516, 3.270224], [39.468665, 3.270215], [39.469393, 3.272169], [39.468477, 3.274019], [39.467966, 3.275947], [39.467001, 3.277381], [39.465895, 3.27867], [39.46423, 3.27831], [39.462095, 3.277592], [39.463099, 3.275366], [39.464695, 3.274618], [39.464841, 3.272825], [39.465873, 3.271213], [39.467804, 3.269886], [39.46934, 3.271344], [39.468555, 3.273738], [39.467888, 3.276036], [39.466677, 3.277804], [39.465092, 3.278376], [39.463141, 3.277999], [39.46159, 3.276848], [39.460686, 3.276665], [39.459538, 3.278186]]
[[39.693272, 2.634259], [39.69276, 2.630832], [39.69276, 2.630832], [39.691486, 2.629514], [39.691486, 2.629514], [39.690609, 2.628313], [39.689903, 2.62695], [39.689903, 2.62695], [39.689278, 2.627433], [39.689278, 2.627433], [39.688431, 2.627278], [39.689152, 2.630157], [39.689152, 2.630157], [39.687805, 2.628247], [39.687805, 2.628247], [39.686604, 2.628098], [39.686127, 2.623933], [39.686127, 2.623933], [39.687973, 2.624277], [39.687973, 2.624277], [39.688679, 2.624134], [39.689335, 2.621643], [39.689335, 2.621643], [39.689362, 2.622684], [39.689362, 2.622684], [39.690903, 2.624174], [39.692154, 2.62928], [39.692154, 2.62928], [39.693199, 2.632309], [39.693199, 2.632309]]
[[39.565152, 2.648301], [39.566939, 2.645202], [39.569523, 2.6464], [39.571518, 2.648093], [39.572142, 2.650862], [39.574438, 2.648645], [39.572482, 2.650668], [39.57124, 2.648545], [39.57147, 2.646062], [39.574243, 2.645509], [39.574804, 2.644415], [39.572411, 2.642305], [39.572685, 2.641602], [39.574717, 2.643586], [39.576278, 2.64672], [39.5782, 2.649255], [39.576427, 2.652262], [39.573291, 2.652207], [39.570567, 2.651132], [39.568631, 2.648208], [39.567216, 2.649381], [39.56876, 2.650678], [39.568135, 2.653723], [39.568082, 2.651498], [39.565669, 2.651491], [39.565558, 2.654611], [39.56754, 2.656043], [39.565253, 2.656565], [39.564426, 2.651944], [39.565308, 2.647071]]
[[39.569275, 2.639522], [39.563039, 2.609045], [39.565617, 2.594752], [39.565635, 2.573384], [39.55863, 2.546261], [39.541417, 2.555411], [39.535087, 2.548009], [39.535294, 2.523979], [39.524305, 2.496934], [39.543737, 2.496956], [39.578791, 2.469856], [39.587834, 2.450263], [39.577271, 2.420776], [39.588305, 2.403043], [39.58322, 2.382206], [39.596119, 2.383794], [39.605484, 2.381814], [39.604736, 2.40898], [39.636999, 2.437812], [39.647534, 2.45896], [39.653575, 2.483208], [39.669637, 2.493094], [39.671426, 2.50562], [39.680089, 2.516029], [39.681495, 2.550669], [39.687942, 2.574398], [39.732897, 2.609761], [39.748934, 2.648597], [39.775558, 2.677288], [39.78408, 2.688229]]
