Iteration;ELBO
450;-172.41493128100592
451;-172.4148971845334
452;-172.41486303656279
453;-172.41482883707795
454;-172.41479458609638
455;-172.41476028361285
456;-172.41472592961168
457;-172.41469152410036
458;-172.41465706707754
459;-172.41462255852889
460;-172.41458799844986
461;-172.41455338685068
462;-172.41451872372204
463;-172.41448400905279
464;-172.41444924285611
465;-172.41441442510973
466;-172.41437955582319
467;-172.41434463498808
468;-172.41430966259304
469;-172.4142746386392
470;-172.41423956312701
471;-172.41420443604056
472;-172.41416925737894
473;-172.41413402714738
474;-172.41409874532019
475;-172.41406341190873
476;-172.41402802690391
477;-172.41399259029413
478;-172.41395710207939
479;-172.41392156224947
480;-172.41388597080322
481;-172.41385032772337
482;-172.4138146330115
483;-172.41377888667262
484;-172.41374308867557
485;-172.41370723903105
486;-172.41367133772974
487;-172.41363538475866
488;-172.41359938011328
489;-172.41356332379132
490;-172.41352721577846
491;-172.41349105606878
492;-172.41345484465683
493;-172.41341858152828
494;-172.41338226668677
495;-172.41334590011297
496;-172.41330948180553
497;-172.4132730117517
498;-172.41323648994512
499;-172.41319991637988
500;-172.41316329103415
501;-172.41312661392135
502;-172.41308988502055
503;-172.41305310431517
504;-172.41301627180906
505;-172.41297938748494
506;-172.41294245133031
507;-172.41290546335404
508;-172.41286842351769
509;-172.41283133183424
510;-172.41279418829185
511;-172.41275699286848
512;-172.41271974555821
513;-172.41268244636035
514;-172.41264509524876
515;-172.4126076922264
516;-172.4125702372769
517;-172.41253273038888
518;-172.41249517154506
519;-172.41245756074545
520;-172.41241989797209
521;-172.41238218321837
522;-172.41234441647066
523;-172.41230659771782
524;-172.41226872694619
525;-172.41223080414534
526;-172.41219282931047
527;-172.41215480241635
528;-172.41211672346071
529;-172.41207859242741
530;-172.41204040930916
531;-172.41200217409141
532;-172.41196388675644
533;-172.4119255472915
534;-172.41188715569274
535;-172.4118487119365
536;-172.41181021602188
537;-172.41177166792158
538;-172.41173306763403
539;-172.41169441513784
540;-172.41165571042802
541;-172.4116169534766
542;-172.4115781442872
543;-172.41153928283779
544;-172.41150036911654
545;-172.41146140310047
546;-172.41142238479028
547;-172.41138331416232
548;-172.4113441911968
549;-172.41130501589396
550;-172.41126578823105
551;-172.41122650819079
552;-172.41118717576364
553;-172.411147790928
554;-172.41110835367999
555;-172.41106886399621
556;-172.41102932185368
557;-172.41098972725376
558;-172.41095008017442
559;-172.41091038059744
560;-172.41087062851307
561;-172.41083082389173
562;-172.41079096673366
563;-172.41075105701429
564;-172.41071109472227
565;-172.41067107983531
566;-172.41063101234431
567;-172.41059089223086
568;-172.41055071946812
569;-172.41051049405201
570;-172.41047021596319
571;-172.41042988518188
572;-172.41038950169036
573;-172.41034906547566
574;-172.41030857652186
575;-172.41026803480622
576;-172.41022744031034
577;-172.41018679302101
578;-172.41014609292506
579;-172.41010533999042
580;-172.41006453421505
581;-172.41002367557189
582;-172.40998276404252
583;-172.40994179961717
584;-172.4099007822731
585;-172.40985971198688
586;-172.40981858873988
587;-172.40977741251663
588;-172.40973618330668
589;-172.40969490108114
590;-172.40965356582637
591;-172.40961217751692
592;-172.4095707361414
593;-172.40952924167595
594;-172.40948769410215
595;-172.40944609340136
596;-172.40940443955242
597;-172.40936273254601
598;-172.40932097234236
599;-172.40927915894144
600;-172.40923729231372
601;-172.40919537244304
602;-172.40915339929984
603;-172.40911137286867
604;-172.40906929313883
605;-172.40902716008236
606;-172.40898497368266
607;-172.4089427339095
608;-172.40890044074831
609;-172.40885809417864
610;-172.40881569418821
611;-172.40877324074313
612;-172.40873073382431
613;-172.40868817341402
614;-172.40864555948883
615;-172.40860289202715
616;-172.40856017101282
617;-172.40851739640902
618;-172.4084745682153
619;-172.40843168639708
620;-172.40838875093846
621;-172.40834576181555
622;-172.40830271901177
623;-172.4082596224921
624;-172.40821647224129
625;-172.40817326824072
626;-172.40813001046058
627;-172.40808669888361
628;-172.40804333348819
629;-172.40799991424547
630;-172.40795644114087
631;-172.40791291414621
632;-172.40786933323739
633;-172.4078256983862
634;-172.40778200957834
635;-172.40773826678469
636;-172.40769446998888
637;-172.40765061915954
638;-172.40760671427984
639;-172.40756275532431
640;-172.40751874226885
641;-172.40747467508072
642;-172.40743055375447
643;-172.40738637825234
644;-172.40734214855365
645;-172.40729786462657
646;-172.40725352646245
647;-172.40720913403379
648;-172.40716468729829
649;-172.40712018624708
650;-172.40707563085607
651;-172.40703102109387
652;-172.40698635693207
653;-172.40694163836179
654;-172.4068968653371
655;-172.40685203785188
656;-172.40680715586495
657;-172.40676221936724
658;-172.4067172283153
659;-172.40667218269368
660;-172.40662708248283
661;-172.40658192764226
662;-172.40653671815744
663;-172.40649145400062
664;-172.40644613513928
665;-172.40640076155228
